time,mag,latitude,longitude,depth,,
2011-10-23T10:41:23.250Z,7.1,38.721,43.508,18,,
2011-10-21T17:57:16.100Z,7.4,-28.993,-176.238,33,,
2011-09-15T19:31:04.080Z,7.3,-21.611,-179.528,644.6,,
2011-09-03T22:55:40.920Z,7,-20.671,169.716,185.1,,
2011-08-24T17:46:11.650Z,7,-7.641,-74.525,147,,
2011-08-20T18:19:23.550Z,7.1,-18.311,168.218,28,,
2011-08-20T16:55:02.810Z,7.2,-18.365,168.143,32,,
2011-07-10T00:57:10.800Z,7,38.034,143.264,23,,
2011-07-06T19:03:18.260Z,7.6,-29.539,-176.34,17,,
2011-06-24T03:09:39.470Z,7.3,52.05,-171.836,52,,
2011-04-07T14:32:43.290Z,7.1,38.276,141.588,42,,
2011-03-11T06:25:50.300Z,7.7,38.058,144.59,18.6,,
2011-03-11T06:15:40.280Z,7.9,36.281,141.111,42.6,,
2011-03-11T05:46:24.120Z,9.1,38.297,142.373,29,,
2011-03-09T02:45:20.330Z,7.3,38.435,142.842,32,,
2011-01-18T20:23:23.480Z,7.2,28.777,63.951,68,,
2011-01-13T16:16:41.540Z,7,-20.628,168.471,9,,
2011-01-02T20:20:17.780Z,7.2,-38.355,-73.326,24,,
2011-01-01T09:56:58.120Z,7,-26.803,-63.136,576.8,,
2010-12-25T13:16:37.000Z,7.3,-19.702,167.947,16,,
2010-12-21T17:19:40.660Z,7.4,26.901,143.698,14,,
2010-10-25T14:42:22.460Z,7.8,-3.487,100.082,20.1,,
2010-09-29T17:11:25.940Z,7,-4.963,133.76,26,,
2010-09-03T16:35:47.770Z,7,-43.522,171.83,12,,
2010-08-12T11:54:15.580Z,7.1,-1.266,-77.306,206.7,,
2010-08-10T05:23:44.980Z,7.3,-17.541,168.069,25,,
2010-08-04T22:01:43.620Z,7,-5.746,150.765,44,,
2010-07-23T23:15:10.190Z,7.5,6.776,123.259,640.6,,
2010-07-23T22:51:11.840Z,7.6,6.497,123.48,578,,
2010-07-23T22:08:11.250Z,7.3,6.718,123.409,607.1,,
2010-07-18T13:34:59.360Z,7.3,-5.931,150.59,35,,
2010-06-16T03:16:27.550Z,7,-2.174,136.543,18,,
2010-06-12T19:26:50.460Z,7.5,7.881,91.936,35,,
2010-05-27T17:14:46.570Z,7.2,-13.698,166.643,31,,
2010-05-09T05:59:41.620Z,7.2,3.748,96.018,38,,
2010-04-06T22:15:01.580Z,7.8,2.383,97.048,31,,
2010-04-04T22:40:42.360Z,7.2,32.2861667,-115.2953333,9.987,,
2010-03-11T14:55:27.510Z,7,-34.326,-71.799,18,,
2010-02-27T08:01:23.010Z,7.4,-37.773,-75.048,35,,
2010-02-27T06:34:11.530Z,8.8,-36.122,-72.898,22.9,,
2010-02-26T20:31:26.970Z,7,25.93,128.425,25,,
2010-01-12T21:53:10.060Z,7,18.443,-72.571,13,,
2010-01-03T22:36:25.640Z,7.1,-8.783,157.354,10,,
2009-11-09T10:44:55.110Z,7.3,-17.239,178.331,595,,
2009-10-07T23:13:48.160Z,7.4,-13.093,166.497,31.1,,
