year,runup,latitude,longitude
2004,20,5.558,95.235
2004,7.8,5.558,95.311
2004,6.59,5.551,95.307
2004,4.79,5.553,95.316
2004,7.8,5.571,95.328
2004,9,5.554,95.291
2006,0.06,-12.117,96.883
2004,7.8,5.571,95.328
2004,4.64,5.549,95.316
2004,5.49,5.553,95.316
2004,1.08,4.18,73.52
2004,4.64,5.549,95.317
2004,7.9,5.573,95.328
2004,34.85,5.458,95.247
2004,1.5,6.93,79.83
2004,8,5.553,95.309
2005,3,2.86,95.59
2004,18.79,5.452,95.244
2004,8,5.489,95.263
2005,1,2.267,97.783
2004,4.2,5.649,95.416
2004,21.56,5.451,95.243
2004,4.5,5.55,95.317
2004,4.9,5.648,95.415
2004,4.58,5.552,95.317
2004,31.91,5.46,95.246
2004,4.52,5.553,95.317
2004,6,5.621,95.398
2004,4.7,5.541,95.282
2004,4.56,5.553,95.317
2004,4.67,5.553,95.317
2004,4.43,5.547,95.317
1881,0.05,10.767,79.833
1881,0.76,9.167,92.783
2004,12.8,5.382,95.256
1883,0.9,7.717,81.7
2004,13.3,5.633,95.4
1883,1,6.932,79.85
2004,13.7,5.553,95.235
1883,0.6,9.833,80.233
2004,14.2,5.397,95.253
2004,14.2,5.634,95.401
2004,15.5,5.443,95.241
2004,15.5,5.492,95.231
2004,16,5.443,95.241
2004,1.15,4.17372,73.51788
2004,16.5,5.429,95.243
2004,1.25,4.17866,73.51416
2004,1.31,4.123,73.438
2004,16.7,5.251,95.253
2004,1.35,4.1802,73.50963
2004,0.65,4.124,73.458
2004,16.9,5.442,95.24
2004,2.33,4.1801,73.52455
2004,1.18,4.084,73.513
2004,17.1,5.441,95.239
2004,1.83,4.1801,73.52455
2004,1.33,4.083,73.512
2004,17.5,5.486,95.228
2004,2.93,4.1801,73.52455
2004,2.38,3.461,73.55
2004,17.8,5.381,95.26
2004,1.09,8.93,76.54
2004,2.89,3.461,73.55
2004,18.2,5.427,95.235
2005,0,0.57171,97.74588
2004,2,3.461,73.549
2004,18.3,5.442,95.241
2004,4.24,5.385,95.966
2004,2.7,3.461,73.549
2004,18.4,5.442,95.241
2004,26.1,5.433,95.236
2004,2.18,3.463,73.551
2004,18.5,5.499,95.223
2004,6.1,5.569,95.341
2004,2.11,2.919,73.581
2004,18.9,5.476,95.237
2005,0,0.9043,97.28008
2004,2.98,2.92,73.581
2005,0,1.6957,97.44872
2004,2.63,2.923,73.582
2005,0,2.094,96.61582
2004,8,5.575,95.325
1883,0,7.209,79.836
2005,0,1.40695,97.08376
2004,20,5.443,95.24
2004,8,5.595,95.371
2005,0,1.260308,97.237656
2004,27.9,5.443,95.242
2004,8.1,5.557,95.315
2005,3.6,0.58167,97.73746
2004,2.42,5.567,95.34
2005,3.3,2.05595,97.3335
2004,8.1,5.552,95.309
2004,2.3,7.376,79.823
2005,1,2.09696,97.09616
2004,8.1,5.48,95.243
2004,1.8,7.356,79.827
2004,8.1,5.594,95.372
2004,2.7,7.283,79.84
2004,8.1,5.593,95.371
2004,8.2,5.562,95.317
2004,8.2,5.53,95.286
2004,8.2,5.514,95.27
2004,8.2,5.533,95.294
2004,8.2,5.526,95.273
2004,8.2,5.595,95.372
2004,8.5,5.571,95.327
2004,8.5,5.546,95.298
1887,0,5.388,95.962
2004,8.5,5.571,95.328
2004,5,10.77,79.83
2004,8.5,5.605,95.388
2004,10,10.77,79.83
2004,8.5,5.61,95.389
2004,14,4.69189,95.5372
2004,8.7,5.593,95.371
1888,0,5.7494,95.0531
1891,0,5.388,95.962
2004,1.13,5.49463,73.41283
2004,19.5,5.452,95.244
2004,1.3,5.4946,73.41245
2004,1.15,5.49373,73.41225
2004,19.5,5.42,95.248
2004,1.3,5.49297,73.4119
2004,19.7,5.485,95.228
2004,1.49,5.49288,73.41188
2004,1.26,5.49272,73.41178
2004,20,5.201,95.284
2004,7,5.647,95.415
2004,0.98,5.49218,73.41317
2004,20,5.558,95.235
2004,7.1,5.648,95.415
2004,1.24,5.49195,73.4136
2004,7.2,5.649,95.416
2004,20.2,5.472,95.238
2004,7.2,5.648,95.415
2004,7.5,5.65,95.422
2004,1.04,5.49195,73.4136
2004,20.7,5.476,95.238
2004,7.7,5.609,95.398
2004,8.2,5.647,95.414
2004,8.6,5.6,95.379
2004,12.2,4.69205,95.53774
2004,21,5.2,95.284
2004,13.5,4.6137,95.62491
2004,10.4,5.286,95.251
2004,21.2,5.316,95.238
2004,10.7,5.602,95.383
2004,21.5,5.497,95.228
2004,11,5.61,95.397
2004,6.5,2.98483,95.39325
2004,21.5,5.428,95.24
2004,4.9,2.98473,95.39311
2004,11.1,5.286,95.244
2007,0.12,-12.117,96.883
2007,0.02,8.905,88.54
2004,11.5,5.561,95.311
2004,21.6,5.468,95.242
2004,11.5,5.565,95.317
2004,11.5,5.55,95.307
2004,21.7,5.499,95.226
2004,11.5,5.597,95.376
2004,11.5,5.483,95.264
2004,21.7,5.435,95.234
2004,21.8,5.631,95.397
2004,22.5,5.476,95.236
2004,22.6,5.432,95.235
2004,23.1,5.464,95.247
2004,23.5,5.314,95.241
2004,11.6,5.478,95.24
2004,11.9,5.544,95.295
2004,11.9,5.534,95.272
2004,12,5.5,95.233
2004,12.2,5.556,95.312
2004,12.2,5.571,95.321
